No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
52,(Cards marked with a ☆ are exclusive to DM23-EX2.),超37/超38,ヘルコプ太の心絵,Helcopta's Memory,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Helcopta%27s_Memory,120,1.04,0
53,(Cards marked with a ☆ are exclusive to DM23-EX2.),超38/超38,ミラクルとミステリーの扉,The Door of Miracle and Mystery,Water/Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/The_Door_of_Miracle_and_Mystery,220,1.91,0
54,Victory Rare,1/112,獅子頂龍ライオネル,"Lionel, Lion Zenith Dragon",Light,DM23-EX2,"https://duelmasters.fandom.com/wiki/Lionel,_Lion_Zenith_Dragon",180,1.57,0
55,King Master Card,2/112,∞龍ゲンムエンペラー,"Genmu Emperor, Infinite Dragon",Water/Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Genmu_Emperor,_Infinite_Dragon",1280,11.14,0
56,Master Hazard Card,3/112,天地命動バラギアラ,"Baraghiara, Heavenly Earth Momentum / Ringfinity Violent Ice",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Baraghiara,_Heavenly_Earth_Momentum_/_Ringfinity_Violent_Ice",120,1.04,0
57,Super Rare,4/112,キング・ザ・スロットン7,King the Slotton 7 / Seventh Seven,Colourless,DM23-EX2,https://duelmasters.fandom.com/wiki/King_the_Slotton_7_/_Seventh_Seven,180,1.57,0
58,Super Rare,5/112,支配の精霊ペルフェクト,"Perfect, Domination Elemental / Galaxy Charger",Light,DM23-EX2,"https://duelmasters.fandom.com/wiki/Perfect,_Domination_Elemental_/_Galaxy_Charger",1980,17.23,0
59,Super Rare,6/112,神羅サンダー・ムーン,"Thunder Moon, the Enlightened",Light,DM23-EX2,"https://duelmasters.fandom.com/wiki/Thunder_Moon,_the_Enlightened",180,1.57,0
60,Super Rare,7/112,龍装艦チェンジザ,"Changethe, Dragon Armored Ship / Fourth of the Six Bizarre ~Earth Breaking Waterfall~",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Changethe,_Dragon_Armored_Ship_/_Fourth_of_the_Six_Bizarre_~Earth_Breaking_Waterfall~",180,1.57,0
61,Super Rare,8/112,龍素記号Srスペルサイクリカ,"Sr Spellcyclica, Dragment Symbol",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Sr_Spellcyclica,_Dragment_Symbol",180,1.57,0
62,Super Rare,9/112,完全水中要塞アカシック3,"Akashic Three, Complete Underwater Fortress",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Akashic_Three,_Complete_Underwater_Fortress",180,1.57,0
63,Super Rare,10a/112,時空の禁断レッドゾーンX,"Redzone X, Temporal Forbidden",Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Redzone_X,_Temporal_Forbidden",680,5.92,0
64,Super Rare,10b/112,終焉の覚醒者レッドゾーンBSR,"Redzone Basara, Final Awakened",Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Redzone_Basara,_Final_Awakened",680,5.92,0
65,Super Rare,11/112,覇王ブラックモナーク,Tyrant Black Monarch,Darkness,DM23-EX2,https://duelmasters.fandom.com/wiki/Tyrant_Black_Monarch,180,1.57,0
66,Super Rare,12/112,復活の祈祷師ザビ・ミラ,"Zabi Mira, the Reviving Shaman",Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Zabi_Mira,_the_Reviving_Shaman",180,1.57,0
67,Super Rare,13/112,アカカゲ・レッドシャドウ,Akakage Redshadow,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Akakage_Redshadow,180,1.57,0
